"src_id","dst_id","count"
"+CY58D3RXbaPGtbNczkwkA==","0yd99stpXMW98ycgIDk9Mg==",53
"+CY58D3RXbaPGtbNczkwkA==","1SPLf5bUUHGLwuTcWsh00Q==",20
"+CY58D3RXbaPGtbNczkwkA==","1fqkJPEgWNSBSjshlZZ4Wg==",15
"+CY58D3RXbaPGtbNczkwkA==","3ZjoxOm+X8KGpWJD66yXWg==",79257
"+CY58D3RXbaPGtbNczkwkA==","8/onIJz0VGSOnlTBcomH/A==",41
"+CY58D3RXbaPGtbNczkwkA==","9JUSUMsSXyaB4u3sXFcV0A==",2
"+CY58D3RXbaPGtbNczkwkA==","FukCM9cSUQmDoCW1mknvqw==",3
"+CY58D3RXbaPGtbNczkwkA==","GCtef0QTUiy12ZM6oNEfWw==",70
"+CY58D3RXbaPGtbNczkwkA==","Ovg0NFm1VDOPpexKrs5WQg==",2
"+CY58D3RXbaPGtbNczkwkA==","PoSqYz3aWaO7qtwXpqVtVg==",8
"+CY58D3RXbaPGtbNczkwkA==","Srdkce9RXdWwCAWrKNDb7g==",5
"+CY58D3RXbaPGtbNczkwkA==","UsduglmKXmyFRAc0W1RYfQ==",33
"+CY58D3RXbaPGtbNczkwkA==","X2e494wFUMWWQhWEkW7/FQ==",8
"+CY58D3RXbaPGtbNczkwkA==","ZU8nboQcW8GT0q45iNABwg==",1
"+CY58D3RXbaPGtbNczkwkA==","apRmw0t/W46dIkrWHylbnw==",5
"+CY58D3RXbaPGtbNczkwkA==","atrlSOX/UquCVOuYzsNBQA==",2
"+CY58D3RXbaPGtbNczkwkA==","bIxOnHq5VL2IAGvo+a5D4w==",8
"+CY58D3RXbaPGtbNczkwkA==","cg6aXEoZXr2UOHBr16zEmw==",9
"+CY58D3RXbaPGtbNczkwkA==","cnoKxVLfXtm3+oOevV1J4A==",5
"+CY58D3RXbaPGtbNczkwkA==","eLsQi4mdUTiDSVOJmFjeTA==",1
"+CY58D3RXbaPGtbNczkwkA==","hBFBYpQDUm+wh3AE3xqDsg==",22
"+CY58D3RXbaPGtbNczkwkA==","hXwL7+l1WPilaw0xViU4Lg==",1
"+CY58D3RXbaPGtbNczkwkA==","kqrr1loKV42bDIZBlAP7lw==",1
"+CY58D3RXbaPGtbNczkwkA==","pyt4woa8Voq16D/qW/1Tbg==",14
"+CY58D3RXbaPGtbNczkwkA==","sVOMKl8XX0ijv5FXs9ZeIA==",2
"+CY58D3RXbaPGtbNczkwkA==","tCgVQdMrXEKvgtYNrd00eA==",93
"+CY58D3RXbaPGtbNczkwkA==","vxpmeNmsVly8BAUu2ZERxQ==",4
"+CY58D3RXbaPGtbNczkwkA==","wmzFyHv/XqihxJF6cqPnzQ==",8
"+CY58D3RXbaPGtbNczkwkA==","woWx+ET8WUOUxMyVyq+Ryg==",5
"+CY58D3RXbaPGtbNczkwkA==","zzY/xgpdXhm3ORHIkr25UA==",2
"+DdzssCZV7uqeb9HmMVH0w==","+CY58D3RXbaPGtbNczkwkA==",1
"+DdzssCZV7uqeb9HmMVH0w==","0yd99stpXMW98ycgIDk9Mg==",4
"+DdzssCZV7uqeb9HmMVH0w==","3ZjoxOm+X8KGpWJD66yXWg==",1250
"+DdzssCZV7uqeb9HmMVH0w==","Vtjf1GuoWfq0F5w6zyHDAw==",4
"+FUkOYHdVC61FAcKgTpVXw==","HU07gYV0ULCbEr6YjJWk/A==",96
"+HQj1uJoXJWw37uphP9TWA==","0yd99stpXMW98ycgIDk9Mg==",3
"+HQj1uJoXJWw37uphP9TWA==","1SPLf5bUUHGLwuTcWsh00Q==",2
"+HQj1uJoXJWw37uphP9TWA==","3ZjoxOm+X8KGpWJD66yXWg==",180
"+HQj1uJoXJWw37uphP9TWA==","HL6mOmwyXrq4T9XmF2Ufjg==",1
"+HQj1uJoXJWw37uphP9TWA==","KTfNu+tJXd258Z6nKPH86w==",4290
