"ascii_id_company","name_internat","name_native","postcode","city","city_native","country","country_iso_code","website_address","operating_revenue_turnover","number_of_employees"
"+/7B81WwUmW1o3jUMStX5w==","Xiamen qiangli jucai display technology co., ltd.","厦门强力巨彩显示技术有限公司","361000","Xiamen","厦门市","China","CN","qlled.com",298703260,360
"+/9MLVq3VTixfe87LXPeeA==","P4Q Electronics Sociedad Limitada","P4Q Electronics Sociedad Limitada","48810","Alonsotegi","Alonsotegi","Spain","ES","www.p4q.com",51788833,184
"+0MnLjmcWAWGCbG24We7Yw==","Multitest elektronische Systeme GmbH","Multitest elektronische Systeme GmbH","83026","Rosenheim","Rosenheim","Germany","DE","www.multitest.com",128040853,360
"+1zmH6cnV8mWu/xN4Abihw==","Quartz International Corp","Quartz International Corp","87113-2104","Albuquerque","Albuquerque","United States of America","US","www.wonikquartz.com",3800000,100
"+4aKZ6LdUyOpKvOnV7veEA==","Toko Electronic Manufacturing Company Limited","東光電子製造廠有限公司","","Kwun Tong","Kwun Tong","Hong Kong SAR, China","HK","www.toko.com.hk",1.8e+08,110
"+9b3oBPDX46Ra9h6ZstC5A==","Ningbo impala electronics co.,ltd","宁波音沛乐电子有限公司","000000","Ningbo","宁波市","China","CN","www.jcspeaker.com",4419210,NA
"+Bfo8czAWCm3yspyAhPwtg==","Dongguan nbc electronic technological co., ltd.","东莞市纳百川电子科技有限公司","523900","Dongguan","东莞市","China","CN","www.anen-power.com",13616574,98
"+CY58D3RXbaPGtbNczkwkA==","Cheil Industries Inc","제일모직(주)","39350","Gumi-si","Gumi-si","Republic of Korea","KR","www.cii.samsung.com",5649607523,NA
"+DdzssCZV7uqeb9HmMVH0w==","Giesecke & devrient (china) information technologies co., ltd.","捷德(中国)科技有限公司","330096","Nanchang","南昌市","China","CN","www.gi-de.com",317532623,300
"+FUkOYHdVC61FAcKgTpVXw==","Hunan jinkang optoelectronics co., ltd.","湖南金康光电有限公司","","Changde City","Changde City","China","CN","www.hnkingcome.com",34696007,156
"+HQj1uJoXJWw37uphP9TWA==","Rohm Co.,Ltd.","ローム株式会社","615-0045","Ukyo-Ku Kyoto-Shi","Ukyo-Ku Kyoto-Shi","Japan","JP","www.rohm.com",4112654895,21560
"+I9gCpklX5O11tGiC1Fclw==","Huizhou apl electronic co., ltd.","惠州市安浦联电子有限公司","516131","Huizhou","惠州市","China","CN","www.aplpcb.cn",7289946,150
"+Jcqb+seUfyHJwudGjEz0Q==","Boreo Oyj","Boreo Oyj","01740","Vantaa","Vantaa","Finland","FI","www.yeint.fi",184521711,327
"+MfMAZiSXn2Bht36NUwZTA==","Ninomiya System Co.,Ltd.","株式会社二宮システム","557-0061","Osaka","Osaka","Japan","JP","www.ninomiya-sys.co.jp",76235802,34
"+MybJZKHUdWmsm659llM3Q==","FNS Co.,Ltd","(주)에프엔에스","17084","Yongin-si","Yongin-si","Republic of Korea","KR","fnsusa.com",8934675,NA
"+OJB7H7YW76Pz9VTwIZXAA==","SFP Tech Holdings Berhad","SFP Tech Holdings Berhad","10050","Georgetown, Pulau Pinang","Georgetown, Pulau Pinang","Malaysia","MY","www.sfptechholdings.com",20325856,NA
"+QsYhw8GVkWMXNAJ+iQQ4g==","Silicon Craft Technology Co., Ltd.","บจ.ซิลิคอน คราฟท์ เทคโนโลยี จำกัด","10210","Don Mueang, Bangkok","เขตจตุจักร, กรุงเทพมหานคร","Thailand","TH","www.sic.co.th",17432210,NA
"+Rgqa2vUUomxKyWzPcKllg==","Hallam-Ics","Hallam-Ics","05403-4403","South Burlington","South Burlington","United States of America","US","www.hallam-ics.com",20500000,15
"+XAFcLxJVyWdGsefpqVTlA==","Gamma optical (suzhou) co., ltd.","嘉威光电(苏州)有限公司","000000","Suzhou","苏州市","China","CN","www.gammaopto.com",29468012,190
"+XKjEEZRV6O/pdZRW/zRMQ==","Shenzhen royole display system technology co., ltd.","深圳柔显系统技术有限公司","518115","Shenzhen","深圳市","China","CN","www.royole.com/cn",27095746,183
"+dKsAXhdVEOVUphKl4epVg==","Microsemi Communications INC","Microsemi Communications INC","93012-8541","Camarillo","Camarillo","United States of America","US","www.vitesse.com",441694000,1105
"+hfMlVKzU4uM0wM7hjS69g==","Shenzhen wanruihe electronic co., ltd.","深圳市万瑞和电子有限公司","000000","Shenzhen","深圳市","China","CN","www.whptc.com",5766753,462
"+lmpCd4zWneWA550bFGTFw==","Mmis Berhad","Mmis Berhad","41150","Klang, Selangor","Klang, Selangor","Malaysia","MY","www.mmisb.com",8995347,NA
"+mMYqJHPWGGWDSYEX8iXNA==","Samil Tech Co.,Ltd","삼일테크(주)","14441","Bucheon-si","Bucheon-si","Republic of Korea","KR","www.samiltech.com",18413297,59
"+mwBiLbgX36KpZYTXyk0+A==","ABX Engineering","ABX Engineering","94010-1503","Burlingame","Burlingame","United States of America","US","www.abxengineering.com",22500000,72
"+n3k+ePrVaCve9wC72h8tQ==","Hokushin Denki Co.,Ltd.","北伸電機株式会社","912-0067","Ono-Shi","Ono-Shi","Japan","JP","hsdk.co.jp",9220310,60
"+nz/UBErXe6+cN179kwacw==","Shanghai testrong technologies co., ltd.","上海捷策创电子科技有限公司","200120","Shanghai","上海市","China","CN","www.testrong.net",13013571,55
"+oUx2YndWB+HUiSJgtU80g==","IC Plus Corp.","九暘電子股份有限公司","300","Hsinchu City","新竹市","Taiwan, China","TW","www.icplus.com.tw",70194267,215
"+qWnDOVzVUOaGnypHJYTUg==","Sistemas Electronicos de Potencia Automatizacion Y Control SA de CV","Sistemas Electronicos de Potencia Automatizacion Y Control SA de CV","54040","Tlalnepantla de Baz","Tlalnepantla de Baz","Mexico","MX","www.sepac.com.mx",7500000,175
"+tJR1akNVRO1zibQxBDV6Q==","Zentel Electronics Corp.","力積電子股份有限公司","302","Zhubei City","新竹縣竹北市","Taiwan, China","TW","www.zentel.com.tw",155010995,112
"+uGmf02eXt+6rsxWhvyLJw==","Boluo zhifeng electronics co., ltd.","博罗志丰电子有限公司","000000","Hui zhou shi","惠州市","China","CN","www.cf-switch.com",11909170,320
"+uOZrauYXSuYrr4HVpdbYA==","Nippon Avionics Co.,Ltd.","日本アビオニクス株式会社","224-0053","Tsuzuki-Ku Yokohama-Shi","Tsuzuki-Ku Yokohama-Shi","Japan","JP","www.avio.co.jp",363226789,1254
"+ub/D4dqXHGTgkljfiN9iA==","Morganite Australia Pty Ltd","Morganite Australia Pty Ltd","2210","Peakhurst","Peakhurst","Australia","AU","furnaceindustries.com",45001127,NA
"+wj/gihKUtucMUFr5VU2fg==","Beijing vacuum electronic technology co., ltd.","北京真空电子科技有限公司","100020","Beijing","北京市","China","CN","www.vetec.com.cn",29068233,142
"+xE4BlFaVpeHWOL4JQUdmg==","Sanraito, KK","株式会社サンライト","461-0002","Higashi-Ku Nagoya-Shi","Higashi-Ku Nagoya-Shi","Japan","JP","www.sun-lt.co.jp",5133267,NA
"+xOq5nHhVVKzs1lzYTPrMw==","Hebei province jinhui electric co.,ltd","河北金辉电气有限公司","000000","Shijiazhuang","晋州市","China","CN","jinhui8868.com",97287457,NA
"+yeuGZAJWB25h7wjtNMpNg==","Changsha shaoguang semiconductor co., ltd.","长沙韶光半导体有限公司","000000","Changsha","长沙市","China","CN","www.sgsemi.com",17914657,NA
"+zCHMg1nVR65qFDO1btsIw==","Robotechnik intelligent technology co.,ltd","罗博特科智能科技股份有限公司","215122","Suzhou","苏州市","China","CN","www.robo-technik.com",171605551,629
"/+mP4VQOUY2BDV/p/n9QbQ==","Compel-Spb Company Limited","Компэл-Спб","199034","Saint-Petersburg","Санкт-Петербург","Russian Federation","RU","compel.ru",44002700,28
"/0J2FGDlVTOC8xQhangpZg==","Globalwafers Japan Co.,Ltd.","グローバルウェーハズ・ジャパン株式会社","957-0101","Kitakambara-Gun","Kitakambara-Gun","Japan","JP","www.sas-globalwafers.com",415138760,NA
"/16muASdXqKLtoJ/giG3hg==","Reel Service Limited","Reel Service Limited","KY6 2SD","Glenrothes","Glenrothes","United Kingdom","GB","www.reelservice.com",14512654,369
"/1MQw6hXWQOEQHoLqVrDFQ==","Balluff-Elektronika Villamossagi es Elektronikai Termekeket Gyarto es Forgalmazo Korlatolt Felelossegu Tarsasag","Balluff-Elektronika Villamossági és Elektronikai Termékeket Gyártó és Forgalmazó Korlátolt Felelősségű Társaság","8200","Veszprem","Veszprém","Hungary","HU","www.balluff.hu",134835533,949
"/4qm+DkfVxW2CDIVvFer2w==","Huizhou wai chi electronics ltd.","惠州伟志电子有限公司","516100","Huizhou","惠州市","China","CN","www.waichi.com",71546811,NA
"/6wpw+HcXi2s+Mo1k2Jrhg==","TG Opseed Co.,Ltd.","ティージーオプシード株式会社","431-1104","Nishi-Ku Hamamatsu-Shi","Nishi-Ku Hamamatsu-Shi","Japan","JP","tg-opseed.co.jp",35701408,NA
"/7s2DpxVVKCpNERdop9j5Q==","Nook Industries, Inc.","Nook Industries, Inc.","44125-1016","Cleveland","Cleveland","United States of America","US","www.nookindustries.com",10100000,200
"/91sTz4VXimwbbg+4K0HLA==","Acal BFi Germany GmbH","Acal BFi Germany GmbH","63128","Dietzenbach","Dietzenbach","Germany","DE","www.acalbfi.com",121571090,79
"/CIBeGaWUOis6CoCk+19zw==","Retronix Inc.","Retronix Inc.","78754-4579","Austin","Austin","United States of America","US","www.retronixsemiconductor.com",9730000,9
"/DVreFL3UEyYEdn5E/2CRw==","Chunghwa Precision Test Technology Company Limited","Chunghwa Precision Test Technology Company Limited","324","Taoyuan","Taoyuan","Taiwan, China","TW","www.cht-pt.com.tw",153372655,NA
"/EYZPgWpXvq0RoQDgy12nA==","Telecommunication Technology TOV","Телекомунікаційні Технології ТОВ","65121","Odesa","Одеса","Ukraine","UA","www.teletec.com.ua",37577128,244
"/FCJDYjhVSKqyZsl8abuew==","Osmonics INC","Osmonics INC","55343","Minnetonka","Minnetonka","United States of America","US","www.osmonics.com",207439000,1318
"/GOUN58yXXKqezfJYszPyA==","Miyoshi Electronics, Inc.","ミヨシ電子株式会社","666-0024","Kawanishi-Shi","Kawanishi-Shi","Japan","JP","www.miyoshi.elec.co.jp",139985353,105
"/JJq2VX6Wp+tYQEt6svRXA==","Foss scino (suzhou) co., ltd.","福斯赛诺分析仪器(苏州)有限公司","215121","Suzhou","苏州市","China","CN","www.foss.dk",7110786,300
"/Jsse90WW8KaeBeFsKOTxw==","Xp power (kunshan) limited","昆山日庞电子科技有限公司","000000","","","China","CN","www.xppowerchina.com",13649788,465
"/MTHCWePVLygx4+Ejf6fqA==","C-Media Electronics Inc.","C-Media Electronics Inc.","106","Taipei","Taipei","Taiwan, China","TW","www.cmedia.com.tw",54336256,NA
"/MXrV4TqVKK0IZ/wT4DPaQ==","LK Engineering Co.,Ltd","(주)엘케이엔지니어링","18487","Hwaseong-si","Hwaseong-si","Republic of Korea","KR","www.lkengineering.co.kr",39686445,160
"/MvHtRA+Xo+EzOyfyv4Yvg==","Hover-Davis, Inc.","Hover-Davis, Inc.","14624-1129","Rochester","Rochester","United States of America","US","www.hoverdavis.com",1.7e+07,125
"/OVGaz0bUU+uYaXos6s2Vw==","Sinopower Semiconductor Inc.","大中積體電路股份有限公司","300","Hsinchu City","新竹市","Taiwan, China","TW","www.sinopowersemi.com",112562906,91
"/OtvD72tUM+HRz75j+KTBw==","Boardtek Electronics Corporation","先豐通訊股份有限公司","328","Taoyuan City","桃園市觀音區","Taiwan, China","TW","www.boardtek.com.tw",265101455,1608
"/RfFTILaWI6Ef1rq0u4Vug==","Shandong sheenrun optics electronics co.,ltd","山东神戎电子股份有限公司","250101","Jinan","济南市","China","CN","www.sheenrun.com",30329755,372
"/Sbw/SsjVmK6yy84iybLNA==","Innolight technology (suzhou) ltd.","苏州旭创科技有限公司","215126","Suzhou","Suzhou","China","CN","www.innolight.com",1164394058,2295
"/SyEBfY6VdO3le2R1jYg5A==","QPC Lasers, Inc.","QPC Lasers, Inc.","91342","Sylmar","Sylmar","United States of America","US","www.qpclasers.com",7932000,61
"/TffHf0OVsOrWgXt92mz0g==","Plamex SA de CV","Plamex SA de CV","22500","Tijuana Baja California","Tijuana Baja California","Mexico","MX","www.plantronics.com",3.5e+07,3750
"/TnQzNe0UU+5YPW9nU/h7A==","Robert Bosch Elektronika Gyarto Kft.","Robert Bosch Elektronika Gyártó Kft.","3000","Hatvan","Hatvan","Hungary","HU","www.bosch.hu",2257597066,5284
